epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,16575.1,1.44122,0.64976,1.02952,0.984,0.98293,0.98901,0.59772,1.14726,0.43516,0.83777,0.00208,0.00208,0.00208
82,16779.7,1.4347,0.64694,1.0259,0.98186,0.98607,0.9889,0.59689,1.14505,0.43381,0.83734,0.001981,0.001981,0.001981
83,16985.7,1.44097,0.65162,1.02888,0.98159,0.98409,0.98898,0.5971,1.1456,0.43502,0.83733,0.001882,0.001882,0.001882
84,17189.2,1.43586,0.64794,1.02226,0.97948,0.98709,0.98917,0.59728,1.14393,0.43462,0.83626,0.001783,0.001783,0.001783
85,17391.2,1.42182,0.64314,1.02156,0.97903,0.98769,0.98928,0.59676,1.14126,0.43481,0.83547,0.001684,0.001684,0.001684
86,17594.6,1.42359,0.6422,1.0243,0.97865,0.98624,0.98898,0.59884,1.14042,0.43437,0.83457,0.001585,0.001585,0.001585
87,17798.5,1.42863,0.64159,1.0183,0.9795,0.98585,0.98885,0.60282,1.13679,0.42947,0.83375,0.001486,0.001486,0.001486
88,18001.2,1.41239,0.63501,1.02133,0.98038,0.98664,0.98886,0.60342,1.13558,0.42968,0.83335,0.001387,0.001387,0.001387
89,18204.4,1.41895,0.63933,1.02155,0.98085,0.98721,0.98907,0.60532,1.13215,0.42899,0.83279,0.001288,0.001288,0.001288
90,18407.5,1.40501,0.63565,1.01452,0.98012,0.98742,0.98903,0.60623,1.13068,0.42948,0.83236,0.001189,0.001189,0.001189
91,18597.6,1.40765,0.64501,1.05269,0.97985,0.98699,0.98896,0.60509,1.13035,0.43006,0.83194,0.00109,0.00109,0.00109
92,18787.3,1.39482,0.63612,1.04705,0.97814,0.98886,0.98881,0.60644,1.13041,0.43232,0.83211,0.000991,0.000991,0.000991
93,18978,1.39092,0.64671,1.04395,0.97916,0.98558,0.98855,0.60504,1.1307,0.43439,0.83201,0.000892,0.000892,0.000892
94,19168.6,1.3838,0.5868,1.0378,0.97828,0.98722,0.98853,0.60389,1.12962,0.43656,0.8316,0.000793,0.000793,0.000793
95,19360.8,1.37899,0.63715,1.04153,0.97913,0.98665,0.98869,0.60409,1.12959,0.43835,0.83156,0.000694,0.000694,0.000694
96,19548.6,1.36989,0.60412,1.04062,0.98109,0.98616,0.98892,0.60302,1.12957,0.4407,0.83141,0.000595,0.000595,0.000595
97,19740.4,1.37275,0.60111,1.03884,0.97916,0.98708,0.98902,0.60335,1.12976,0.44193,0.8316,0.000496,0.000496,0.000496
98,19934.9,1.36345,0.654,1.03345,0.98175,0.98544,0.98908,0.6031,1.12924,0.44102,0.83164,0.000397,0.000397,0.000397
99,20133.4,1.35772,0.60034,1.03462,0.9792,0.98764,0.98909,0.60276,1.12913,0.44242,0.8315,0.000298,0.000298,0.000298
100,20327.6,1.358,0.60603,1.03197,0.98165,0.98378,0.98911,0.60249,1.12931,0.4439,0.83146,0.000199,0.000199,0.000199
